id,stem,terms,anticipation,joy,trust,fear,sadness,disgust,anger,surprise,positive,negative,none,total
0,Esta,thy this,0,0,0,1,0,0,0,0,0,0,1,2
1,Es,is,0,0,0,0,0,0,0,0,0,0,5,5
2,porque,because,0,0,0,0,0,0,0,0,1,0,10,11
3,exportar,exporters exporting export exporter exportable exported exports,1,1,0,0,0,0,0,0,0,0,0,2
4,Para,to,0,0,0,0,0,0,0,0,0,0,4,4
5,el,the,0,0,0,0,0,0,0,0,0,0,11,11
6,Acción,stocks stock stocking stocked,0,4,2,0,0,1,0,2,0,0,2,11
7,Y,and,0,0,0,0,0,0,0,0,0,0,2,2
8,Hornear,bake baking baked,0,2,0,0,0,0,0,0,0,0,1,3
9,Hielo,ice icing,2,0,0,2,1,1,0,2,0,1,2,11
10,Gelatina,gelatin,0,2,0,0,0,0,0,0,0,0,1,3
11,sprinkl,sprinkles sprinkled,0,2,0,0,1,0,0,0,0,0,0,3
12,De,of,0,0,0,0,0,1,0,0,0,1,7,9
13,Que,which,0,0,0,0,0,0,0,0,0,0,3,3
14,Son,are,0,0,0,0,0,0,0,0,0,0,10,10
15,Doméstico,domestically domestic,0,3,1,0,0,0,0,0,0,0,0,4
16,En,in ins,0,0,0,0,0,0,0,0,0,0,9,9
17,Estos,these theses,0,0,0,0,0,0,0,0,0,0,3,3
18,Don,donning don dons,0,1,0,0,0,0,0,0,0,0,1,2
19,Saber,taste tasting tastes tastefully tasted,0,2,0,0,0,0,0,0,0,0,0,2
20,Como,as,0,0,0,0,0,0,0,0,0,0,12,12
21,bien,goodness good goods,0,2,0,0,0,0,0,0,0,0,0,2
22,Ellos,they,0,0,0,0,0,0,0,0,0,0,3,3
23,Sonido,sounding sound sounded sounds,0,1,0,0,0,0,0,0,0,0,3,4
24,O,or,0,0,0,0,0,0,0,0,0,0,3,3
25,Si,if ifs,1,0,0,0,0,0,0,0,0,0,9,10
26,Pensar,thinking thinks think,1,0,0,0,0,0,0,0,0,0,0,1
27,Idea,ideas idea,1,0,0,0,0,0,0,1,0,0,0,2
28,Absoluto,absolute absolutely,0,2,0,0,1,0,0,1,5,0,1,10
29,horrendo,horrendously horrendous,0,0,0,1,0,0,0,0,0,0,0,1
30,Sólo,just,0,0,0,0,0,0,0,0,0,0,1,1
31,Hablado,spoken,0,1,0,1,0,0,0,0,0,0,0,2
32,Ahora,now,0,0,0,0,0,0,0,0,0,0,3,3
33,Ser,being be beings,0,0,0,0,0,0,0,0,0,0,1,1
34,Reconocer,recognising recognised recognise,0,0,0,0,1,0,0,0,0,0,0,1
35,Editar,edited edition edit edits editing,0,1,1,0,0,0,0,0,0,0,1,3
36,Desde,since,0,0,0,0,0,0,0,0,0,0,11,11
37,Aparente,apparently apparent,1,0,1,0,0,0,0,0,0,0,1,3
38,Plétora,plethora,1,3,0,0,0,0,0,0,0,0,0,4
39,serio,serious,0,0,0,1,0,0,0,0,0,0,0,1
40,afuera,outs out,0,0,0,0,0,0,1,1,0,0,7,9
41,acerca de,about,0,0,0,0,0,0,0,0,0,0,1,1
42,por la presente,hereby,0,0,0,0,0,0,0,0,0,0,4,4
43,Doblar,dubbed dub dubs,0,1,0,1,0,0,0,0,0,0,1,3
44,Dejar,quitting quits quite quit quitted,2,1,0,0,3,1,0,0,1,2,4,14
45,obvio,obvious,0,0,0,0,0,0,0,0,0,0,2,2
